##NAMES=Spinel
##RRUFFID=R050411
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Mogok, Burma
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Pale pink gemstone
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050411
##MEASURED CHEMISTRY=Mg_0.93_Al_2.04_O_4_
146.3506, 0.0000000E+00
146.8327, 0.1882930
147.3148, 8.7890001E-03
147.7969, 2.581909
148.2791, 4.065125
148.7612, 4.138062
149.2433, 3.389282
149.7254, 2.423096
150.2075, 1.595886
150.6896, 1.019104
151.1718, 0.5051880
151.6539, 2.7892999E-02
152.1360, 0.6115720
152.6181, 1.453918
153.1002, 2.828918
153.5823, 3.607361
154.0645, 2.343079
154.5466, 1.446350
155.0287, 2.093567
155.5108, 7.627380
155.9929, 10.83130
156.4750, 8.892944
156.9572, 3.185120
157.4393, 0.5792240
157.9214, 0.1911620
158.4035, 2.385254
158.8856, 4.091187
159.3677, 4.566040
159.8499, 4.740662
160.3320, 4.900330
160.8141, 5.016052
161.2962, 4.979858
161.7783, 4.325745
162.2604, 3.762390
162.7426, 3.864319
163.2247, 6.077148
163.7068, 7.942871
164.1889, 7.918091
164.6710, 6.200745
165.1531, 4.531738
165.6353, 3.597900
166.1174, 3.159241
166.5995, 2.901550
167.0816, 2.748657
167.5637, 2.789001
168.0458, 3.053284
168.5280, 3.480164
169.0101, 3.952759
169.4922, 4.684509
169.9743, 5.236450
170.4564, 5.341614
170.9385, 4.212952
171.4207, 3.151672
171.9028, 3.388123
172.3849, 5.022583
172.8670, 6.469482
173.3491, 6.117432
173.8312, 4.704651
174.3134, 3.600159
174.7955, 3.451660
175.2776, 3.843933
175.7597, 4.708374
176.2418, 6.068237
176.7239, 7.246460
177.2061, 9.066101
177.6882, 11.47784
178.1703, 12.98761
178.6524, 12.47351
179.1345, 10.80334
179.6166, 8.749817
180.0988, 6.272644
180.5809, 4.339172
181.0630, 4.256409
181.5451, 5.690002
182.0272, 6.796082
182.5093, 6.013672
182.9915, 4.215637
183.4736, 3.655518
183.9557, 4.643372
184.4378, 6.274414
184.9199, 7.671265
185.4020, 8.750610
185.8842, 9.169739
186.3663, 8.413086
186.8484, 6.766357
187.3305, 5.274231
187.8126, 3.979736
188.2947, 2.972778
188.7769, 2.398010
189.2590, 2.269714
189.7411, 2.446533
190.2232, 3.084167
190.7053, 4.034180
191.1874, 4.265991
191.6696, 3.244324
192.1517, 1.862183
192.6338, 2.362366
193.1159, 4.758728
193.5980, 6.788696
194.0801, 6.890991
194.5623, 5.233887
195.0444, 3.605347
195.5265, 2.101746
196.0086, 0.8685910
196.4907, 0.2507320
196.9728, 0.3442380
197.4550, 0.5903930
197.9371, 0.6367190
198.4192, 0.4802860
198.9013, 0.4459840
199.3834, 0.6104130
199.8655, 0.8731080
200.3477, 1.012268
200.8298, 1.044250
201.3119, 1.029297
201.7940, 0.9663090
202.2761, 0.7811890
202.7582, 0.9116820
203.2404, 1.655579
203.7225, 2.582275
204.2046, 2.391296
204.6867, 0.5921020
205.1688, 1.206848
205.6509, 2.022034
206.1331, 1.790649
206.6152, 0.7608640
207.0973, 1.414001
207.5794, 3.971191
208.0615, 4.523010
208.5436, 2.306091
209.0258, 0.1386110
209.5079, 0.1158450
209.9900, 2.935730
210.4721, 4.653198
210.9542, 4.556335
211.4363, 3.281311
211.9185, 3.156128
212.4006, 4.780212
212.8827, 6.168030
213.3648, 5.693054
213.8469, 2.372192
214.3290, 0.8843990
214.8112, 2.265686
215.2933, 5.518860
215.7754, 7.358826
216.2575, 7.293091
216.7396, 6.658875
217.2217, 6.143066
217.7038, 5.639343
218.1860, 5.635925
218.6681, 6.442993
219.1502, 7.734863
219.6323, 8.270264
220.1144, 7.798523
220.5965, 7.004639
221.0787, 6.221375
221.5608, 5.356323
222.0429, 4.780884
222.5250, 4.561279
223.0071, 4.652405
223.4892, 4.972778
223.9714, 5.851807
224.4535, 6.461426
224.9356, 6.257629
225.4177, 4.748413
225.8998, 3.622192
226.3819, 2.966309
226.8641, 2.743591
227.3462, 2.900146
227.8283, 3.631226
228.3104, 4.430969
228.7925, 5.039734
229.2746, 5.418091
229.7568, 5.698792
230.2389, 5.996765
230.7210, 6.179443
231.2031, 5.777344
231.6852, 4.377502
232.1673, 2.991211
232.6495, 2.141785
233.1316, 2.063782
